experiment,test,pvalue
1,anova,0.0152
1,two,0.0255
2,anova,0.0146
2,two,0.0238
3,anova,0.015
3,two,0.0246
4,anova,0.0219
4,two,0.0348
5,anova,0.0424
5,two,0.0552
6,anova,0.026
6,two,0.0413
7,anova,0.2075
7,two,0.1831
8,anova,0.1317
8,two,0.1205
9,anova,0.1244
9,two,0.1218
10,anova,0.059
10,two,0.0563
11,anova,0.0218
11,two,0.0253
12,anova,0.017
12,two,0.0244
