experiment,test,pvalue
1,boot,0.0306
1,anova,0.0299
2,boot,0.0217
2,anova,0.0217
3,boot,0.0173
3,anova,0.0161
4,boot,0.0223
4,anova,0.0208
5,boot,0.0442
5,anova,0.0423
6,boot,0.0268
6,anova,0.0252
7,boot,0.2108
7,anova,0.2086
8,boot,0.1298
8,anova,0.1283
9,boot,0.1204
9,anova,0.1185
10,boot,0.0613
10,anova,0.058
11,boot,0.0242
11,anova,0.0238
12,boot,0.0168
12,anova,0.016
