expirement,test,pvalue
1,anova,0.0633
1,two,0.0231
2,anova,0.0704
2,two,0.0287
3,anova,0.0681
3,two,0.0537
4,anova,0.0626
4,two,0.0358
5,anova,0.0679
5,two,0.1342
6,anova,0.0703
6,two,0.1445
7,anova,0.0696
7,two,0.0272
8,anova,0.065
8,two,0.0196
9,anova,0.0628
9,two,0.0234
