experiment,test,pvalue
1,two,0.0207
1,anova,0.0285
2,two,0.0191
2,anova,0.0277
3,two,0.0146
3,anova,0.0202
4,two,0.0162
4,anova,0.0235
5,two,0.0196
5,anova,0.0207
6,two,0.0198
6,anova,0.0236
7,two,0.0169
7,anova,0.0273
8,two,0.0167
8,anova,0.0324
9,two,0.0136
9,anova,0.0278
10,two,0.0157
10,anova,0.029
11,two,0.0169
11,anova,0.0213
12,two,0.0188
12,anova,0.0215
