experiment,test,pvalue
1,boot,0.0177
1,anova,0.0161
2,boot,0.0267
2,anova,0.0258
3,boot,0.0432
3,anova,0.0409
4,boot,0.027
4,anova,0.0262
5,boot,0.1399
5,anova,0.1387
6,boot,0.1438
6,anova,0.1412
7,boot,0.0187
7,anova,0.0182
8,boot,0.0183
8,anova,0.0172
9,boot,0.0176
9,anova,0.016
