experiment,test,pvalue
1,boot,0.0556
1,anova,0.0529
2,boot,0.0571
2,anova,0.0565
3,boot,0.0557
3,anova,0.0546
4,boot,0.0513
4,anova,0.0505
5,boot,0.053
5,anova,0.0516
6,boot,0.0512
6,anova,0.0487
7,boot,0.0508
7,anova,0.0519
8,boot,0.0496
8,anova,0.0498
9,boot,0.0478
9,anova,0.0465
