experiment,test,pvalue
1,boot,0.0171
1,anova,0.0172
2,boot,0.0189
2,anova,0.0184
3,boot,0.0171
3,anova,0.0158
4,boot,0.0162
4,anova,0.0153
5,boot,0.0181
5,anova,0.017
6,boot,0.017
6,anova,0.0167
7,boot,0.0165
7,anova,0.0163
8,boot,0.0178
8,anova,0.0166
9,boot,0.0186
9,anova,0.0181
10,boot,0.0192
10,anova,0.0186
11,boot,0.0168
11,anova,0.0165
12,boot,0.0169
12,anova,0.0159
